web-scraper-order,web-scraper-start-url,topLevelCategory,topLevelCategory-href,rank,image-src,title,pages,pages-href,url,ratings,price,reviewCount
1657646256-4638,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Amazon Devices & Accessories,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,#68,"https://images-na.ssl-images-amazon.com/images/I/51NarbrWD9L._AC_UL906_SR906,600_.jpg",2-Year Accident Protection Plan for All New Echo Dot 4th Gen,2,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/2-Year-Accident-Protection-Plan-Echo/dp/B07XMNQHMT/ref=zg_bs_amazon-devices_18/142-3285647-5902325?pd_rd_i=B07XMNQHMT&psc=1,4.6 out of 5 stars,$3.74 ,"10,848"
1657646256-4628,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Amazon Devices & Accessories,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,#58,"https://images-na.ssl-images-amazon.com/images/I/41U4yxooUZL._AC_UL906_SR906,600_.jpg",Blink Video Doorbell Wedge Mount – Black,2,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Blink-Video-Doorbell-Wedge-Mount/dp/B08XN997MN/ref=zg_bs_amazon-devices_8/142-3285647-5902325?pd_rd_i=B08XN997MN&psc=1,4.4 out of 5 stars,$7.99 ,"1,730"
1657646256-4643,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Amazon Devices & Accessories,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,#73,"https://images-na.ssl-images-amazon.com/images/I/519UFgIzwMS._AC_UL906_SR906,600_.jpg",Echo Show 5 (2nd Gen) Adjustable Stand | Charcoal,2,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/All-new-Echo-Adjustable-Stand-Charcoal/dp/B08MHBPQHX/ref=zg_bs_amazon-devices_23/142-3285647-5902325?pd_rd_i=B08MHBPQHX&psc=1,4.7 out of 5 stars,$11.99 ,"9,038"
1657646260-4655,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Amazon Devices & Accessories,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,#5,"https://images-na.ssl-images-amazon.com/images/I/41pGFbSrrRL._AC_UL906_SR906,600_.jpg","Fire TV Stick Lite with latest Alexa Voice Remote Lite (no TV controls), HD streaming device",1,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_pg_1?_encoding=UTF8&pg=1,/fire-tv-stick-lite-latest-alexa-voice-remote-lite/dp/B091G4YP57/ref=zg_bs_amazon-devices_5/142-3285647-5902325?pd_rd_i=B091G4YP57&psc=1,4.7 out of 5 stars,$11.99 ,"11,006"
1657646260-4665,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Amazon Devices & Accessories,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,#15,"https://images-na.ssl-images-amazon.com/images/I/51Da2Z+FTFL._AC_UL906_SR906,600_.jpg","Fire TV Stick Lite with Alexa Voice Remote Lite (no TV controls), HD streaming device",1,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_pg_1?_encoding=UTF8&pg=1,/fire-tv-stick-lite/dp/B07YNLBS7R/ref=zg_bs_amazon-devices_15/142-3285647-5902325?pd_rd_i=B07YNLBS7R&psc=1,4.7 out of 5 stars,$11.99 ,"240,221"
1657646256-4621,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Amazon Devices & Accessories,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,#51,"https://images-na.ssl-images-amazon.com/images/I/81dQGd03YHL._AC_UL906_SR906,600_.jpg",Made for Amazon SanDisk 128GB microSD Memory Card for Fire Tablets and Fire -TV,2,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/SanDisk-micro-Memory-Card-Tablets/dp/B013TMNPBQ/ref=zg_bs_amazon-devices_1/142-3285647-5902325?pd_rd_i=B013TMNPBQ&psc=1,4.6 out of 5 stars,$15.18 ,"68,820"
1657646260-4651,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Amazon Devices & Accessories,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,#1,"https://images-na.ssl-images-amazon.com/images/I/51KKR5uGn6L._AC_UL906_SR906,600_.jpg","Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",1,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_pg_1?_encoding=UTF8&pg=1,/fire-tv-stick-with-3rd-gen-alexa-voice-remote/dp/B08C1W5N87/ref=zg_bs_amazon-devices_1/142-3285647-5902325?pd_rd_i=B08C1W5N87&psc=1,4.7 out of 5 stars,$16.99 ,"232,532"
1657646260-4667,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Amazon Devices & Accessories,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,#17,"https://images-na.ssl-images-amazon.com/images/I/6182S7MYC2L._AC_UL906_SR906,600_.jpg","Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",1,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_pg_1?_encoding=UTF8&pg=1,/Echo-Dot/dp/B07FZ8S74R/ref=zg_bs_amazon-devices_17/142-3285647-5902325?pd_rd_i=B07FZ8S74R&psc=1,4.7 out of 5 stars,$17.99 ,"954,558"
1657646256-4647,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Amazon Devices & Accessories,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,#77,"https://images-na.ssl-images-amazon.com/images/I/31X1pWv1CXL._AC_UL906_SR906,600_.jpg",Echo Auto-  Control your smart home from your car with Alexa,2,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Echo-Auto--Hands-free-Alexa-in-your-car-with-your-phone/dp/B07VTK654B/ref=zg_bs_amazon-devices_27/142-3285647-5902325?pd_rd_i=B07VTK654B&psc=1,4.0 out of 5 stars,$19.99 ,"146,016"
1657646260-4656,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Amazon Devices & Accessories,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_nav_0,#6,"https://images-na.ssl-images-amazon.com/images/I/51cGlUCK5WL._AC_UL906_SR906,600_.jpg","Echo Dot (4th Gen) | Sleek design with full sound, Bluetooth, and Alexa | Charcoal",1,https://www.amazon.com/Best-Sellers-Amazon-Devices-Accessories/zgbs/amazon-devices/ref=zg_bs_pg_1?_encoding=UTF8&pg=1,/Echo-Dot/dp/B07XJ8C8F5/ref=zg_bs_amazon-devices_6/142-3285647-5902325?pd_rd_i=B07XJ8C8F5&psc=1,4.7 out of 5 stars,$19.99 ,"477,384"
