web-scraper-order,web-scraper-start-url,topLevelCategory,topLevelCategory-href,rank,image-src,title,pages,pages-href,url,ratings,price,reviewCount
1638891373-1192,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Apps & Games,https://www.amazon.com/Best-Sellers-Apps-Games/zgbs/mobile-apps/ref=zg_bs_nav_0,#53,"https://images-na.ssl-images-amazon.com/images/I/71xcxE0WjUL._AC_UL302_SR302,200_.png",CoolBall,2,https://www.amazon.com/Best-Sellers-Apps-Games/zgbs/mobile-apps/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Vaveda-Games-LLC-CoolBall/dp/B08YRP9ZJ1/ref=zg_bs_mobile-apps_53/133-1326600-1601804?pd_rd_i=B08YRP9ZJ1&psc=1,3.2 out of 5 stars,$7.49 ,30
1638891373-1196,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Apps & Games,https://www.amazon.com/Best-Sellers-Apps-Games/zgbs/mobile-apps/ref=zg_bs_nav_0,#57,"https://images-na.ssl-images-amazon.com/images/I/917xLDHMH7L._AC_UL302_SR302,200_.png",Kjra Gaming,2,https://www.amazon.com/Best-Sellers-Apps-Games/zgbs/mobile-apps/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Raj-Kjra-Gaming/dp/B07F1Z4NFS/ref=zg_bs_mobile-apps_57/133-1326600-1601804?pd_rd_i=B07F1Z4NFS&psc=1,3.5 out of 5 stars,$0.99 ,242
1638891373-1195,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Apps & Games,https://www.amazon.com/Best-Sellers-Apps-Games/zgbs/mobile-apps/ref=zg_bs_nav_0,#56,"https://images-na.ssl-images-amazon.com/images/I/716cGM6FxXL._AC_UL302_SR302,200_.png",Toca Life: After School,2,https://www.amazon.com/Best-Sellers-Apps-Games/zgbs/mobile-apps/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Toca-Boca-Life-After-School/dp/B07BH25FSP/ref=zg_bs_mobile-apps_56/133-1326600-1601804?pd_rd_i=B07BH25FSP&psc=1,4.0 out of 5 stars,$3.99 ,856
1638891373-1193,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Apps & Games,https://www.amazon.com/Best-Sellers-Apps-Games/zgbs/mobile-apps/ref=zg_bs_nav_0,#54,"https://images-na.ssl-images-amazon.com/images/I/71W9zwVFKyL._AC_UL302_SR302,200_.png",Red Ball Attack!,2,https://www.amazon.com/Best-Sellers-Apps-Games/zgbs/mobile-apps/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Ogtus-Media-LLC-Ball-Attack/dp/B00K0U9VRS/ref=zg_bs_mobile-apps_54/133-1326600-1601804?pd_rd_i=B00K0U9VRS&psc=1,3.6 out of 5 stars,$0.99 ,"1,337"
1638891373-1191,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Apps & Games,https://www.amazon.com/Best-Sellers-Apps-Games/zgbs/mobile-apps/ref=zg_bs_nav_0,#52,"https://images-na.ssl-images-amazon.com/images/I/61EIoMIBghL._AC_UL302_SR302,200_.png",Toca Life: City,2,https://www.amazon.com/Best-Sellers-Apps-Games/zgbs/mobile-apps/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Toca-Boca-Life-City/dp/B01555BUD0/ref=zg_bs_mobile-apps_52/133-1326600-1601804?pd_rd_i=B01555BUD0&psc=1,3.9 out of 5 stars,$3.99 ,"1,358"
1638891373-1194,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Apps & Games,https://www.amazon.com/Best-Sellers-Apps-Games/zgbs/mobile-apps/ref=zg_bs_nav_0,#55,"https://images-na.ssl-images-amazon.com/images/I/41FOZ4JIHVL._AC_UL302_SR302,200_.jpg",Teach Your Monster to Read | Phonics and Learn to Read,2,https://www.amazon.com/Best-Sellers-Apps-Games/zgbs/mobile-apps/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Teach-Your-Monster-Phonics-Learn/dp/B01HDXUH0O/ref=zg_bs_mobile-apps_55/133-1326600-1601804?pd_rd_i=B01HDXUH0O&psc=1,4.4 out of 5 stars,$4.99 ,"8,011"
1638891373-1189,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Apps & Games,https://www.amazon.com/Best-Sellers-Apps-Games/zgbs/mobile-apps/ref=zg_bs_nav_0,#51,"https://images-na.ssl-images-amazon.com/images/I/710rmP759XL._AC_UL302_SR302,200_.png",Bike Race Pro by Top Free Games,2,https://www.amazon.com/Best-Sellers-Apps-Games/zgbs/mobile-apps/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Bike-Race-Top-Free-Games/dp/B008TQ16OG/ref=zg_bs_mobile-apps_51/133-1326600-1601804?pd_rd_i=B008TQ16OG&psc=1,3.9 out of 5 stars,$0.99 ,"8,208"
1638891373-1190,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Apps & Games,https://www.amazon.com/Best-Sellers-Apps-Games/zgbs/mobile-apps/ref=zg_bs_nav_0,#51,"https://images-na.ssl-images-amazon.com/images/I/710rmP759XL._AC_UL302_SR302,200_.png",Bike Race Pro by Top Free Games,2,https://www.amazon.com/Best-Sellers-Apps-Games/zgbs/mobile-apps/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Bike-Race-Top-Free-Games/dp/B008TQ16OG/ref=zg_bs_mobile-apps_51/133-1326600-1601804?pd_rd_i=B008TQ16OG&psc=1,3.9 out of 5 stars,$0.99 ,"8,208"
1638891373-1197,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Apps & Games,https://www.amazon.com/Best-Sellers-Apps-Games/zgbs/mobile-apps/ref=zg_bs_nav_0,#58,"https://images-na.ssl-images-amazon.com/images/I/41RQ9grOhaL._AC_UL302_SR302,200_.png",AirReceiver,2,https://www.amazon.com/Best-Sellers-Apps-Games/zgbs/mobile-apps/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/%E9%BE%99%E6%96%B9%E5%84%BF-AirReceiver/dp/B00L5HQRGS/ref=zg_bs_mobile-apps_58/133-1326600-1601804?pd_rd_i=B00L5HQRGS&psc=1,3.6 out of 5 stars,$2.99 ,"13,398"
1638891353-1188,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Automotive,https://www.amazon.com/Best-Sellers-Automotive/zgbs/automotive/ref=zg_bs_nav_0,#58,"https://images-na.ssl-images-amazon.com/images/I/716rOtQsgjS._AC_UL302_SR302,200_.jpg",Interior Car Lights Keepsmile Car Accessories Car Led Lights APP Control with Remote Music Sync Color Change RGB Under Dash Car Lighting with Car Charger 12V 2A LED Lights for Car (RGB),2,https://www.amazon.com/Best-Sellers-Automotive/zgbs/automotive/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Interior-Keepsmile-Accessories-Control-Lighting/dp/B097CB5WXB/ref=zg_bs_automotive_58/133-1326600-1601804?pd_rd_i=B09D45GYP6&psc=1,3.9 out of 5 stars,$16.99 ,917
